BurgerTime(tm) Game	BURG	BurgerTime	BurgerTime
Cabal(tm) Game	CAB	Cabal	Cabal
Captain America and the Avengers(tm) Game		Captain America and The Avengers	Captain America and The Avengers
Captain Planet and the Planeteers(tm) Game	PLAN	Captain Planet and The Planeteers	Captain Planet and The Planeteers
Captain Skyhawk(tm) Game	HAWK	Captain SkyHawk	Captain SkyHawk
Casino Kid II(tm) Game	CAS2	Casino Kid 2	Casino Kid 2
Castelian(tm) Game	CAST	Castelian	Castelian
Castle of Dragon(tm) Game	CAST	Castle of Dragon	Castle of Dragon
CastleQuest(tm) Game	QEST	Castlequest	Castlequest
CastleVania(tm) Game	CAS	Castlevania	Castlevania
CastleVania(tm) II: Simon's Quest(tm) Game	VAN	Castlevania II - Simon's Quest	Castlevania II - Simon's Quest
Championship Pool(tm) Game	POOL	Championship Pool	Championship Pool
Chip 'N Dale Rescue Rangers 2(tm) Game	CND2	Chip 'n Dale Rescue Rangers 2	Chip 'n Dale Rescue Rangers 2
Chip 'N Dale(tm) Game	CHIP	Chip 'n Dale Rescue Rangers	Chip 'n Dale Rescue Rangers
Chubby Cherub(tm) Game	CHER	Chubby Cherub	Chubby Cherub
Circus Caper(tm) Game	CAPE	Circus Caper	Circus Caper
City Connection(tm) Game	CITY	City Connection	City Connection
Clash at Demonhead(tm) Game	HEAD	Clash at Demonhead	Clash at Demonhead
Cliffhanger(tm) Game	CLIFF	Cliffhanger	Cliffhanger
Clu Clu Land(tm) Game	CLU	Clu Clu Land	Clu Clu Land
Cobra Command(tm) Game	COCO	Cobra Command	Cobra Command
Cobra Triangle(tm) Game	TRI	Cobra Triangle	Cobra Triangle
Code Name: Viper(tm) Game	VIPE	Code Name - Viper	Code Name - Viper
Commando(tm) Game	COM	Commando	Commando
Conquest of the Crystal Palace(tm) Game	CON	Conquest of the Crystal Palace	Conquest of the Crystal Palace
Contra Force(tm) Game	CON	Contra Force	Contra Force
Contra(tm) Game	CONT	Contra	Contra
Cool World(tm) Game	COOL	Cool World	Cool World
Crystalis(tm) Game	CRYS	Crystalis	Crystalis
Cyberball(tm) Game		Cyberball	Cyberball
Cybernoid(tm) Game	CYBE	Cybernoid - The Fighting Machine	Cybernoid - The Fighting Machine
Danny Sullivan's Indy Heat(tm) Game		Danny Sullivan's Indy Heat	Danny Sullivan's Indy Heat
Darkwing Duck(tm) Game	DWD	Darkwing Duck	Darkwing Duck
Dash Galaxy in the Alien Asylum(tm) Game	DASH	Dash Galaxy in the Alien Asylum	Dash Galaxy in the Alien Asylum
Days of Thunder(tm) Game	DAYS	Days of Thunder	Days of Thunder
Deadly Towers(tm) Game	DEAD	Deadly Towers	Deadly Towers
Defender II(tm) Game	DEF	Defender II	Defender II
Defender of the Crown(tm) Game	CROW	Defender of the Crown	Defender of the Crown
Demon Sword(tm) Game	DEM	Demon Sword	Demon Sword
Destination Earthstar(tm) Game	STAR	Destination Earthstar	Destination Earthstar
Destiny of an Emperor(tm) Game	DEST	Destiny of an Emperor	Destiny of an Emperor
Dick Tracy(tm) Game	TRACY	Dick Tracy	Dick Tracy
Die Hard(tm) Game	DIE	Die Hard	Die Hard
Dig Dug(tm) II: Trouble in Paradise(tm) Game	DIG	Dig Dug II - Trouble in Paradise	Dig Dug II - Trouble in Paradise
Digger T. Rock: The Legend of the Lost City(tm) Game	DIG	Digger - The Legend of the Lost City	Digger - The Legend of the Lost City
Dirty Harry(tm) Game	HARRY	Dirty Harry - The War Against Drugs	Dirty Harry - The War Against Drugs
Disney's Duck Tales(tm) Game	DUCK	Duck Tales	Duck Tales
Disney's The Jungle Book(tm) Game		Jungle Book, The	Jungle Book, The
Donkey Kong 3(tm) Game	DK3	Donkey Kong 3	Donkey Kong 3
Donkey Kong Classics(tm) Game	CLAS	Donkey Kong Classics	Donkey Kong Classics
Donkey Kong(tm) Game	DK3	Donkey Kong	Donkey Kong
Double Dragon II: The Revenge(tm) Game	DD2	Double Dragon II - The Revenge	Double Dragon II - The Revenge
Double Dragon III--The Sacred Stones(tm) Game	DD3	Double Dragon III - The Sacred Stones	Double Dragon III - The Sacred Stones
Double Dragon(tm) Game	DUB	Double Dragon	Double Dragon
Dr. Chaos(tm) Game	CHAOS	Dr. Chaos	Dr. Chaos
Dr. Jekyll and Mr. Hyde(tm) Game	HYDE	Dr. Jekyll and Mr. Hyde	Dr. Jekyll and Mr. Hyde
Dr. Mario(tm) Game	DR.	Dr. Mario	Dr. Mario
Dragon Power(tm) Game	DRAG	Dragon Power	Dragon Power
Dragon Warrior II(tm) Game	DW2	Dragon Warrior II	Dragon Warrior II
Dragon Warrior III(tm) Game	DRAG	Dragon Warrior III	Dragon Warrior III
Dragon Warrior IV(tm) Game	DRAG4	Dragon Warrior IV	Dragon Warrior IV
Dragon Warrior(tm) Game	WAR	Dragon Warrior	Dragon Warrior
