10-Yard Fight
1942
1943 - The Battle of Midway
3-D Battles of World Runner, The
3D Block (Pirate)
720
75 Bingo
8 Eyes
AV Hanafuda Club
AV Jiu Ji Ma Jiang 2
AV Mahjongg
AV Mei Shao Nv Zhan Shi
AV Strip Mahjong
Abadox - The Deadly Inner War
Action 52
Addams Family, The
Addams Family, The - Pugsley's Scavenger Hunt
Advanced Dungeons & Dragons - Dragon Strike
Advanced Dungeons & Dragons - Heroes of the Lance
Advanced Dungeons & Dragons - Hillsfar
Advanced Dungeons & Dragons - Pool of Radiance
Adventures in the Magic Kingdom
Adventures of Bayou Billy, The
Adventures of Captain Comic, The
Adventures of Dino Riki, The
Adventures of Dr. Franken, The
Adventures of Gilligan's Island, The
Adventures of Lolo
Adventures of Lolo 2
Adventures of Lolo 3
Adventures of Rad Gravity, The
Adventures of Rocky and Bullwinkle and Friends, The
Adventures of Tom Sawyer
After Burner
Air Fortress
Airwolf (UE)
Al Unser Jr. Turbo Racing
Aladdin (E)
Aladdin (Pirate)
Aladdin 2 (Pirate)
Aladdin 3 (Pirate)
Alfred Chicken
Alien 3
Alien Syndrome
All-Pro Basketball
Alpha Mission
Amagon
American Gladiators
Anticipation
Arch Rivals - A BasketBrawl!
Architect for Dr. PC Jr.
Archon
Arkanoid
Arkista's Ring
Armadillo
Asterix
Astyanax
Athena
Athletic World
Attack of the Killer Tomatoes
Aussie Rules Footy
Auto-Upturn
BB Car
Baby Boomer
Back to the Future
Back to the Future Part II & III
Bad Dudes
Bad News Baseball
Bad Street Brawler
Balloon Fight
Bandai Golf - Challenge Pebble Beach
Bandit Kings of Ancient China
Barbie
Bard's Tale, The - Tales of the Unknown
Barker Bill's Trick Shooting
Base Wars
Baseball
Baseball Simulator 1.000
Baseball Stars
Baseball Stars II
Bases Loaded
Bases Loaded 3
Bases Loaded 4
Bases Loaded II
Bashi Bazook - Morphoid Masher
Batman
Batman - Return of the Joker
Batman Returns
Battle Chess
Battle Tank
Battle of Olympus, The
Battleship
Battletoads
Battletoads & Double Dragon - The Ultimate Team
Beauty and the Beast
Bee 52
Beetlejuice
Best of the Best - Championship Karate
