1942(tm) Game	'42	1942
Digger T. Rock: The Legend of the Lost City(tm) Game	DIG	Digger - The Legend of the Lost City
Dirty Harry(tm) Game	HARRY	Dirty Harry - The War Against Drugs
Disney's Duck Tales(tm) Game	DUCK	Duck Tales
Donkey Kong 3(tm) Game	DK3	Donkey Kong 3
Donkey Kong Classics(tm) Game	CLAS	Donkey Kong Classics
Donkey Kong(tm) Game	DK3	Donkey Kong
Double Dragon II: The Revenge(tm) Game	DD2	Double Dragon II - The Revenge
Double Dragon III--The Sacred Stones(tm) Game	DD3	Double Dragon III - The Sacred Stones
Double Dragon(tm) Game	DUB	Double Dragon
Dr. Chaos (tm) Game	CHAOS	Dr. Chaos
Dr. Jekyll and Mr. Hyde (tm) Game	HYDE	Dr. Jekyll and Mr. Hyde
Dr. Mario(tm) Game	DR.	Dr. Mario
Dragon Power(tm) Game	DRAG	Dragon Power
Dragon Warrior II(tm) Game	DW2	Dragon Warrior II
Dragon Warrior III(tm) Game	DRAG	Dragon Warrior III
Dragon Warrior IV(tm) Game	DRAG4	Dragon Warrior IV
Dragon Warrior(tm) Game	WAR	Dragon Warrior
Dragon's Lair(tm) Game	LAIR 	Dragon's Lair
DragonStrike(tm) Game	DRAG	Advanced Dungeons & Dragons - Dragon Strike
DuckTales 2(tm) Game	TALE	Duck Tales 2
Dungeon Magic(tm) Game	MAGIC	Dungeon Magic - Sword of the Elements
Dynowarz--The Destruction of Spondylus(tm) Game	DYNO	Dynowarz - The Destruction of Spondylus
Elevator Action(tm) Game	ELEV	Elevator Action
Excitebike(tm) Game	BIKE	Excitebike
F-15 City War(tm) Game	F-15	F-15 City War
Fantasy Zone(tm) Game	FAN	Fantasy Zone
Faria(tm) Game	FAR	Faria - A World of Mystery & Danger!
Faxanadu(tm) Game	FAX	Faxanadu
Felix the Cat(tm) Game	FELI	Felix the Cat
Final Fantasy(tm) Game	FINAL	Final Fantasy
Firehawk(tm)	FIRE	Fire Hawk
Fist of the North Star(tm) Game	FIST	Fist of the North Star
Flight of the Intruder(tm) Game	INT	Flight of the Intruder
Flying Dragon(tm)--The Secret Scroll(tm) Game	FLY	Flying Dragon - The Secret Scroll
Formula One: Built to Win(tm) Game	BTW	Formula One - Built To Win
Fox's Peter Pan and the Pirates(tm) Game	PETE 	Peter Pan & The Pirates
Freedom Force(tm) Game	FREE	Freedom Force
Friday the 13th(tm) Game	13TH	Friday the 13th
Fun House (tm) Game	FUN	Fun House
G.I. Joe(tm) Game	G.I.	G.I. Joe
Galaga(tm) Demons of Death(tm) Game	GALA	Galaga - Demons of Death
Galaxy 5000(tm) Game	GAL	Galaxy 5000
Gauntlet II(tm) Game	GAUNT	Gauntlet II
Ghostbusters(tm) Game	GB	Ghostbusters
Ghostbusters(tm) II Game	BUST	Ghostbusters II
Ghosts 'n Goblins(tm) Game	GOB	Ghosts 'N Goblins
Gilligan's Island(tm) Game	GILL	Adventures of Gilligan's Island, The
Godzilla(tm) Game 	ZILLA	Godzilla - Monster of Monsters!
Golga 13(tm)--Top Secret Episode(tm) Game	GOL	Golgo 13 - Top Secret Episode
Golga 13(tm): The Mafat Conspiracy(tm) Game	MAFAT	Mafat Conspiracy - Golgo 13
Goonies II(tm) Game	GOON	Goonies II, The
Gotcha!(tm) The Sport!(tm) Game	GOT	Gotcha! - The Sport!
Gradius(tm) Game	GRAD	Gradius
Gremlins 2: The New Batch(tm) Game	GREM	Gremlins 2 - The New Batch
Guerilla War(tm) Game	WAR	Guerrilla War
Gumshoe(tm) Game	GUM	Gumshoe
Gyromite(tm) Game	GYRO	Gyromite
Gyruss(tm) Game	RUSS	Gyruss
Harlem Globetrotters(tm) Game	TROT	Harlem Globetrotters
Heavy Barrel(tm) Game	BAR	Heavy Barrel
Heavy Shreddin'(tm) Game	SHRED	Heavy Shreddin'
Hillsfar (tm) Game	FAR	Advanced Dungeons & Dragons - Hillsfar
Hogan's Alley(tm) Game	HOGE	Hogan's Alley
Home Alone 2(tm) Game	HOME2	Home Alone 2 - Lost in New York
Hook(tm) Game	HOOK	Hook
Hudson's Adventure Island(tm) Game	AI	Hudson's Adventure Island
Hydlide(tm) Game	LIDE	Hydlide
Ice Climber(tm) Game	ICE	Ice Climber
Ikari III: The Rescue(tm) Game	IKAR	Ikari III - The Rescue
Ikari Warriors(tm) Game	IK	Ikari Warriors
Ikari Warriors(tm) II: Victory Road(tm) Game	VICT	Ikari Warriors II - Victory Road
Imagefight(tm) Game	IMAGE	Image Fight
Indiana Jones and the Last Crusade(tm) Game	JONES	Indiana Jones and the Last Crusade
Indiana Jones and the Temple of Doom(tm) Game	INDY	Indiana Jones and the Temple of Doom
Infiltrator (tm) Game	TRATOR	Infiltrator
Iron Tank(tm) Game	TANK	Iron Tank - The Invasion of Normandy
IronSword(tm)--Wizards & Warriors(tm) II Game	IRON	Ironsword - Wizards & Warriors II
Isolated Warrior(tm) Game	ISO	Isolated Warrior
Ivan "Ironman" Stewart's Super Off-Road(tm) Game	OFF	Ivan Ironman Stewart's Super Off-Road
