10-Yard Fight
3D Block (Pirate)
75 Bingo
AV Hanafuda Club
AV Jiu Ji Ma Jiang 2
AV Mahjongg
AV Mei Shao Nv Zhan Shi
AV Strip Mahjong
Abadox - The Deadly Inner War
Action 52
Advanced Dungeons & Dragons - Heroes of the Lance
Advanced Dungeons & Dragons - Pool of Radiance
Adventures of Captain Comic, The
Adventures of Dr. Franken, The
Adventures of Rad Gravity, The
After Burner
Al Unser Jr. Turbo Racing
Aladdin (E)
Aladdin (Pirate)
Aladdin 2 (Pirate)
Aladdin 3 (Pirate)
Alien 3
All-Pro Basketball
Architect for Dr. PC Jr.
Armadillo
Asterix
Athletic World
Attack of the Killer Tomatoes
Aussie Rules Footy
Auto-Upturn
BB Car
Baby Boomer
Bad News Baseball
Bandai Golf - Challenge Pebble Beach
Bandit Kings of Ancient China
Bard's Tale, The - Tales of the Unknown
Barker Bill's Trick Shooting
Base Wars
Baseball
Baseball Stars
Bases Loaded
Bashi Bazook - Morphoid Masher
Battle Chess
Beauty and the Beast
Bible Adventures
Bible Buffet
Big Bird's Hide & Speak
Big Nose Freaks Out
Bingo
Bio Hazard
Black Bass USA, The
Blackjack
Blues Brothers, The
Bo Jackson Baseball
Boku Koku Shuu Kin
Boogerman (Pirate)
Brush Roller
Bubble Bath Babes
Buzz and Waldog
Caesars Palace
California Games
California Raisins, The - The Grape Escape
Captain Tsubasa Vol. II - Super Striker
Casino Kid
Castle of Deceit
Castlevania III - Dracula's Curse
Caveman Games
Challenge of the Dragon
Championship Bowling
Championship Rally
Cheetah Men II
Chess Academys
Chessmaster, The
Chik Bik Ji Jin - Saam Gwok Ji
Chiller
Chinese Checkers
Chinese Kungfu
Chuugoku Taitei
Classic Concentration
Color A Dinosaur
Conan - The Mysteries of Time
Conflict
Contra Spirits (Pirate)
Cosmos Cop (CN-08)
Cowboy Kid
Crackout
Crash 'n the Boys - Street Challenge
Crayon Shin-Chan - Ora to Poi Poi
Creatom
Crime Busters
Cross Fire
Crystal Mines
D.J. Boy
Dance Aerobics
Dance Xtreme - Prima
Dancing Blocks
Darkman
Darkseed
Day Dreamin' Davey
Death Race
Deathbots
Decathlon
Defenders of Dynatron City
Deja Vu
Demo Boy 2
Desert Commander
Devil World
Dizzy The Adventurer
Don Doko Don 2
Dong Dong Nao II - Guo Zhong Ying Wen (Middle School English II)
Donkey Kong Country 4 (Pirate)
Donkey Kong Jr.
Donkey Kong Jr. Math
Double Dare
Double Dribble
Double Strike
Drac's Night Out
Dragon Ball Z - Super Butouden 2 (Pirate)
Dragon Ball Z IV (Pirate)
Dragon Fighter
Dragon Spirit - The New Legend
Dragon Wars
Dragon, The (Pirate)
Drop Zone
Duck
Duck Hunt
Dudes With Attitude
Dusty Diamond's All-Star Softball
EarthWorm Jim 2 (Pirate)
EarthWorm Jim 3 (Pirate)
Earthbound
El Monstruo de Los Globos
Elite
English Word Blaster V1.0
Escape From Atlantis, The
Europe Sensen
Exodus - Journey to the Promised Land
F-117A Stealth Fighter
F-15 Strike Eagle
FIFA 97 International Soccer
FIFA International 2' 96
Family BASIC
Family Feud
Fatal Fury 2 (Pirate)
Ferrari - Grand Prix Challenge
Fester's Quest
Fighting Hero
Fighting Hero III
Final Combat
Final Fantasy II
Final Fantasy V
Final Fight 3
Fire 'n Ice
Fire Dragon
Firehouse Rescue
Flying Warriors
Forcity
Formula 1 Sensation
Fun Blaster Pak
GLK Dance by FengLi
Gaiapolis
Galactic Crusader
Game Genie
Gargoyle's Quest II - The Demon Darkness
Garou Densetsu Special
Gauntlet
Gemfire
Genghis Khan
George Foreman's KO Boxing
Ghoul School
Go! Benny!
Goal 3
Goal!
Godzilla 2 - War of the Monsters
Golf
Goonies, The
Great Wall, The
Greg Norman's Golf Power
Gun-Nac
Gun.Smoke
Hammerin' Harry
Hanafuda Yuukyou Den - Nagarebana Oryuu
Happy Pairs
Harry Story
Harry's Legend (Pirate)
Hatris
Hell Fighter
Hero Quest
High Speed
Hit Marmot
Hit the Ice
Hollywood Squares
Home Alone
Hoops
Hot Dance 2000
Hot Slot
Huge Insect
I Can Remember
Ice Hockey
Impossible Mission II
Incredible Crash Dummies, The
International Cricket
Jack Nicklaus' Greatest 18 Holes of Major Championship Golf
Jeopardy!
Jim Henson's Muppet Adventure - Chaos at the Carnival
John Elway's Quarterback
Jordan Vs Bird - One On One
Joshua
Jovial Race
Joypad Test Cartridge
Jurassic Boy 2
Kaiketsu Yanchamaru 2 - Karakuri Land
Kaiketsu Yanchamaru 3 - Taiketsu! Zouringen
Karate Champ
Kart Fighter (Pirate)
Kero Kero Keroppi no Daibouken 2 - Donuts Ike ha Oosawagi!
Kibord 003
Kick Off
King Neptune's Adventure
King of Fighters 96, The (Pirate)
King of Fighters 97, The (Pirate)
King of Fighters 99, The (Pirate)
King of Kings - Early Years, The
King's Quest V
Kings of the Beach
Konami Hyper Soccer
Korean Igo
Krazy Kreatures
Kyouryuu Sentai Juuranger
L'Empereur
Laser Invasion
Last Ninja, The
Lee Trevino's Fighting Golf
Legend of Prince Valiant, The
Legend of Robin Hood, The
Legend of the Ghost Lion
Linus Spacehead's Cosmic Crusade
Lion King III, The Simon and Pumba (Pirate)
Lion King, The
Lion King, The (1995) (Pirate)
Little League Baseball - Championship Series
Little Ninja Brothers
Little Red Hood
Locksmith
Loopz
Lucky 777
Lunar Pool
Lupin Sansei - Pandora no Isan
M&M Heroes
M82 Game Selectable Working Product Display
Mach Rider
Magic Block
Magic Cubes
Magic Darts
Magic Dragon (Pirate)
Magic Jewelry (Pirate)
Magic Jewelry 2 (Pirate)
Magic Johnson's Fast Break
Magic Mathematic
Magician
Mahjan Samit Kabukicho Hen
Mahjang Companion
Mahjong Academy
Mahjong Block (MGC-008)
Mahjong World
Major League Baseball
Makai Island
Maniac Mansion
Mario is Missing!
Mario's Time Machine!
Master Chu & The Drunkard Hu
Master Shooter (CN-26)
McDonaldLand
Mei Nu Quan (Honey Peach)
Meikyuu Jiin Dababa (FDS Conversion)
Menace Beach
Metal Fighter
Michael Andretti's World Grand Prix
Mickey Mania (Pirate)
Mickey Mouse - Dream Balloon
Mickey's Adventures in Numberland
Mickey's Safari in Letterland
Might and Magic
Millionaire
Mind Blower Pak
Miracle Piano Teaching System, The
Mission Cobra
Mitsume ga Tooru
Monster In My Pocket
Monster Truck Rally
Moon Ranger
Mortal Kombat (Pirate)
Mortal Kombat Special (Pirate)
Mortal Kombat Variations (Pirates)
Mr. Gimmick
Multi-Game Pirate Carts
NBA Jam 2
NES Open Tournament Golf
NES PowerPad Test Cart
NES Test Cart (Official Nintendo)
NFL Football
NTF2 System Cart
Napoleon's War
New Ghostbusters II
Nightshade
Nintendo World Championships 1990
Noah's Ark
Nobunaga's Ambition
Nobunaga's Ambition 2
Olympic IQ
Operation Secret Storm
Orb 3D
Othello
Over Horizon
Overlord
P'radikus Conflict, The
Pac-Mania
Palamedes
Panda Prince, The (Pirate)
Parasol Stars - The Story of Bubble Bobble 3
Parodius
Peek-A-Boo Poker
Penguin & Seal, The
Perfect Fit
Pesterminator - The Western Exterminator
Phantom Air Mission
Pictionary
Pinball Quest
Pipe 5
Pirates!
Pizza Pop!
Po Po Team
