'89 Dennou Kyuusei Uranai
10-Yard Fight
1991 Du Ma Racing
1999 - Hore, Mitakotoka! Seikimatsu
3D Block (Pirate)
4 Nin Uchi Mahjong
75 Bingo
A Ressha de Ikou
AV Hanafuda Club
AV Jiu Ji Ma Jiang 2
AV Mahjongg
AV Mei Shao Nv Zhan Shi
AV Strip Mahjong
Aa Yakyuu Jinsei Icchokusen
Abadox - The Deadly Inner War
Action 52
Advanced Dungeons & Dragons - Dragons of Flame
Advanced Dungeons & Dragons - Heroes of the Lance
Advanced Dungeons & Dragons - Pool of Radiance
Adventures of Captain Comic, The
Adventures of Dr. Franken, The
Adventures of Rad Gravity, The
After Burner
Ai Sensei no Oshiete - Watashi no Hoshi
Ai Senshi Nicol
Aigiina no Yogen - From The Legend of Balubalouk
Airwolf (J)
Akagawa Jirou no Yuurei Ressha
Akira
Akuma-kun - Makai no Wana
Akumajou Special - Boku Dracula-kun
Al Unser Jr. Turbo Racing
Aladdin (E)
Aladdin (Pirate)
Aladdin 2 (Pirate)
Aladdin 3 (Pirate)
Alien 3
All-Pro Basketball
America Daitouryou Senkyo
America Oudan Ultra Quiz - Shijou Saidai no Tatakai
American Dream
Ankoku Shinwa - Yamato Takeru Densetsu
Antarctic Adventure
Aoki Ookami to Shiroki Mejika - Genchou Hishi
Architect for Dr. PC Jr.
Arctic
Argus
Arkanoid II
Armadillo
Artelius
Asmik-kun Land
Asterix
Astro Fang - Super Machine
Astro Robo Sasa
Athletic World
Atlantis no Nazo
Attack Animal Gakuen
Attack of the Killer Tomatoes
Aussie Rules Footy
Auto-Upturn
B-Wings
BB Car
Babel no Tou
Baby Boomer
Bad News Baseball
Baken Hisshou Gaku - Gate In
Bakushou! Star Monomane Shitennou
Bakushou!! Ai no Gekijou
Bakushou!! Jinsei Gekijou 2
Bakushou!! Jinsei Gekijou 3
Bakushou!! Jinsei Gekijou
Balda (BBG)
Balda
Ball Story - Jong Yuk Chuen Suet Fa Jong II
Ballblazer
Baltron
Banana
Bananan Ouji no Daibouken
Bandai Golf - Challenge Pebble Beach
Bandit Kings of Ancient China
Bao Qing Tian
Bao Xiao Tien Guo (Explosion Sangokushi)
Barcode World
Bard's Tale II, The - The Destiny Knight
Bard's Tale, The - Tales of the Unknown
Barker Bill's Trick Shooting
Base Wars
Baseball Fighter
Baseball Stars
Baseball
Bases Loaded
Bashi Bazook - Morphoid Masher
Batsu & Terii
Battle Baseball
Battle Chess
Battle City
Battle Fleet
Battle Stadium - Senbatsu Pro Yakyuu
Battle Storm
Be-Bop-Highschool - Koukousei Gokuraku Densetsu
Beauty and the Beast
Best Keiba - Derby Stallion
Best Play Pro Yakyuu '90
Best Play Pro Yakyuu II
Best Play Pro Yakyuu Special
Best Play Pro Yakyuu
Bible Adventures
Bible Buffet
Big Bird's Hide & Speak
Big Nose Freaks Out
Bikkuriman World - Gekitou Sei Senshi
Binary Land
Bing Kuang Ji Dan Zi - Flighty Chicken
Bingo
Bio Hazard
Bio Miracle Bokutte Upa
Bird Week
Black Bass USA, The
Black Bass, The
Blackjack
Blodia Land - Puzzle Quest
Bloody Warriors - Shan-Go no Gyakushuu
Blues Brothers, The
Bo Jackson Baseball
Bokosuka Wars
Boku Koku Shuu Kin
Bonza
Booby Kids
Boogerman (Pirate)
Brush Roller
Bubble Bath Babes
Business Wars
Buzz and Waldog
Cadillac
Caesars Palace
California Games
California Raisins, The - The Grape Escape
Captain Ed
Captain Silver
Captain Tsubasa Vol. II - Super Striker
Casino Derby
Casino Kid
Castle Quest
Castle of Deceit
Castlevania III - Dracula's Curse
Caveman Games
Chack 'n Pop
Challenge of the Dragon
Challenger
Championship Bowling
Championship Lode Runner
Championship Rally
Chaos World
Cheetah Men II
Chess Academys
Chessmaster, The
Chester Field - Ankoku Shin heno Chousen
Chibi Maruko-Chan - Uki Uki Shopping
Chiisana Obake - Acchi Socchi Kocchi
Chik Bik Ji Jin - Saam Gwok Ji
Chiller
Chinese Checkers
Chinese Kungfu
