1942(tm) Game	1942
DragonStrike(tm) Game	UNKNOWN
DuckTales 2(tm) Game	Duck Tales 2
Dungeon Magic(tm) Game	Dungeon Magic - Sword of the Elements
Dynowarz--The Destruction of Spondylus(tm) Game	Dynowarz - The Destruction of Spondylus
Elevator Action(tm) Game	Elevator Action
Excitebike(tm) Game	Excitebike
F-15 City War(tm) Game	F-15 City War
Fantasy Zone(tm) Game	Fantasy Zone
Faria(tm) Game	UNKNOWN
Faxanadu(tm) Game	Faxanadu
Felix the Cat(tm) Game	Felix the Cat
Final Fantasy(tm) Game	Final Fantasy
Firehawk(tm)	Fire Hawk
Fist of the North Star(tm) Game	Fist of the North Star
Flight of the Intruder(tm) Game	Flight of the Intruder
Flying Dragon(tm)--The Secret Scroll(tm) Game	Flying Dragon - The Secret Scroll
Formula One: Built to Win(tm) Game	Formula One - Built To Win
Fox's Peter Pan and the Pirates(tm) Game	UNKNOWN
Freedom Force(tm) Game	Freedom Force
Friday the 13th(tm) Game	Friday the 13th
Fun House (tm) Game	Fun House
G.I. Joe(tm) Game	G.I. Joe
Galaga(tm) Demons of Death(tm) Game	Galaga - Demons of Death
Galaxy 5000(tm) Game	Galaxy 5000
Gauntlet II(tm) Game	Gauntlet II
Ghostbusters(tm) Game	Ghostbusters
Ghostbusters(tm) II Game	Ghostbusters II
Ghosts 'n Goblins(tm) Game	Ghosts 'N Goblins
Gilligan's Island(tm) Game	UNKNOWN
Godzilla(tm) Game 	Godzilla - Monster of Monsters!
Golga 13(tm)--Top Secret Episode(tm) Game	Golgo 13 - Top Secret Episode
Golga 13(tm): The Mafat Conspiracy(tm) Game	UNKNOWN
Goonies II(tm) Game	UNKNOWN
Gotcha!(tm) The Sport!(tm) Game	Gotcha! - The Sport!
Gradius(tm) Game	Gradius
Gremlins 2: The New Batch(tm) Game	Gremlins 2 - The New Batch
Guerilla War(tm) Game	Guerrilla War
Gumshoe(tm) Game	Gumshoe
Gyromite(tm) Game	Gyromite
Gyruss(tm) Game	Gyruss
Harlem Globetrotters(tm) Game	Harlem Globetrotters
Heavy Barrel(tm) Game	Heavy Barrel
Heavy Shreddin'(tm) Game	Heavy Shreddin'
Hillsfar (tm) Game	UNKNOWN
Hogan's Alley(tm) Game	Hogan's Alley
Home Alone 2(tm) Game	Home Alone 2 - Lost in New York
Hook(tm) Game	Hook
Hudson's Adventure Island(tm) Game	Hudson's Adventure Island
Hydlide(tm) Game	Hydlide
Ice Climber(tm) Game	Ice Climber
Ikari III: The Rescue(tm) Game	Ikari III - The Rescue
Ikari Warriors(tm) Game	Ikari Warriors
Ikari Warriors(tm) II: Victory Road(tm) Game	Ikari Warriors II - Victory Road
Imagefight(tm) Game	Image Fight
Indiana Jones and the Last Crusade(tm) Game	Indiana Jones and the Last Crusade
Indiana Jones and the Temple of Doom(tm) Game	Indiana Jones and the Temple of Doom
Infiltrator (tm) Game	Infiltrator
Iron Tank(tm) Game	Iron Tank - The Invasion of Normandy
IronSword(tm)--Wizards & Warriors(tm) II Game	Ironsword - Wizards & Warriors II
Isolated Warrior(tm) Game	Isolated Warrior
Ivan "Ironman" Stewart's Super Off-Road(tm) Game	Ivan Ironman Stewart's Super Off-Road
Jackal(tm) Game	Jackal
Jackie Chan's Action Kung Fu(tm) Game 	Jackie Chan's Action Kung Fu
James Bond Jr. (tm) Game	James Bond Jr
Jaws (tm) Game	Jaws
Jimmy Connors Tennis(tm) Game	Jimmy Connor's Tennis
Joe & Mac (tm) Game	UNKNOWN
Journey to Silius(tm) Game	Journey to Silius
Joust(tm) Game	Joust
Jurassic Park(tm) Game	Jurassic Park
Kabuki - Quantum Fighter(tm) Game	Kabuki - Quantum Fighter
Karnov(tm) Game	Karnov
Kickle Cubicle(tm) Game	Kickle Cubicle
Kid Icarus(tm) Game	Kid Icarus
Kid Klown(tm) Game	Kid Klown
Kid Kool(tm) Game	Kid Kool and the Quest for the 7 Wonder Herbs
Kid Niki, Radical Ninja(tm) Game	Kid Niki - Radical Ninja
King's Knight(tm) Game	King's Knight
Kirby's Adventure(tm) Game	Kirby's Adventure
